TINDAK SEQUENCE NUMBER,NEGERI,TAHUN,Jenis Undi,Kod Parlimen,Nama Parlimen,Kod DUN,Nama DUN,KOD DM,Nama Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),PR,PR_CALON,PR_UNDI,BN,BN_CALON,BN_UNDI,LAIN1,LAIN_CALON,LAIN1_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
11,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/03,PADANG LALANG,SEKOLAH KEBANGSAAN PENGHULU AHMAD AYER HANGAT,4,465,PKR,WAN SALLEH,243,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",211,,,,454,11,0
12,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/04,KILIM,SEKOLAH KEBANGSAAN KILIM,1,302,PKR,WAN SALLEH,107,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",173,,,,280,22,0
13,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/04,KILIM,SEKOLAH KEBANGSAAN KILIM,2,299,PKR,WAN SALLEH,108,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",177,,,,285,14,0
14,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/05,LADANG SUNGAI RAYA,SEKOLAH KEBANGSAAN LADANG SUNGAI RAYA,1,278,PKR,WAN SALLEH,124,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",144,,,,268,10,0
15,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/05,LADANG SUNGAI RAYA,SEKOLAH KEBANGSAAN LADANG SUNGAI RAYA,2,409,PKR,WAN SALLEH,212,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",187,,,,399,10,0
16,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/06,WANG TOK RENDONG,DEWAN ORANG RAMAI KAMPUNG WANG TOK RENDONG,1,368,PKR,WAN SALLEH,105,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",245,,,,350,18,0
17,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/07,BENDANG BARU,SEKOLAH KEBANGSAAN SERI NEGERI,1,246,PKR,WAN SALLEH,103,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",136,,,,239,7,0
18,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/07,BENDANG BARU,SEKOLAH KEBANGSAAN SERI NEGERI,2,382,PKR,WAN SALLEH,151,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",227,,,,378,4,0
19,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/07,BENDANG BARU,SEKOLAH KEBANGSAAN SERI NEGERI,3,358,PKR,WAN SALLEH,153,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",204,,,,357,1,0
20,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/08,ULU MELAKA,SEKOLAH KEBANGSAAN ULU MELAKA,1,294,PKR,WAN SALLEH,102,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",177,,,,279,15,0
21,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/08,ULU MELAKA,SEKOLAH KEBANGSAAN ULU MELAKA,2,387,PKR,WAN SALLEH,137,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",239,,,,376,11,0
22,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/08,ULU MELAKA,SEKOLAH KEBANGSAAN ULU MELAKA,3,349,PKR,WAN SALLEH,138,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",206,,,,344,5,0
23,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/09,NYIOR CHABANG,SEKOLAH KEBANGSAAN NYIOR CHABANG,1,312,PKR,WAN SALLEH,138,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",156,,,,294,18,0
24,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/09,NYIOR CHABANG,SEKOLAH KEBANGSAAN NYIOR CHABANG,2,342,PKR,WAN SALLEH,133,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",201,,,,334,8,0
25,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/09,NYIOR CHABANG,SEKOLAH KEBANGSAAN NYIOR CHABANG,3,316,PKR,WAN SALLEH,131,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",181,,,,312,4,0
26,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/10,PADANG KANDANG,SEKOLAH JENIS KEBANGSAAN (CHINA) MIN NAM KUALA TERIANG,1,330,PKR,WAN SALLEH,201,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",115,,,,316,14,0
27,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/10,PADANG KANDANG,SEKOLAH JENIS KEBANGSAAN (CHINA) MIN NAM KUALA TERIANG,2,401,PKR,WAN SALLEH,244,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",149,,,,393,8,0
28,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/10,PADANG KANDANG,SEKOLAH JENIS KEBANGSAAN (CHINA) MIN NAM KUALA TERIANG,3,380,PKR,WAN SALLEH,253,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",119,,,,372,8,0
29,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/11,PADANG MATSIRAT,SEKOLAH KEBANGSAAN PADANG MATSIRAT,1,286,PKR,WAN SALLEH,107,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",160,,,,267,19,0
30,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/11,PADANG MATSIRAT,SEKOLAH KEBANGSAAN PADANG MATSIRAT,2,354,PKR,WAN SALLEH,160,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",190,,,,350,4,0
31,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/12,KAMPUNG ATAS,SEKOLAH MENENGAH KEBANGSAAN TUNKU PUTRA,1,252,PKR,WAN SALLEH,79,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",168,,,,247,5,0
32,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/12,KAMPUNG ATAS,SEKOLAH MENENGAH KEBANGSAAN TUNKU PUTRA,2,283,PKR,WAN SALLEH,125,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",156,,,,281,2,0
33,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/13,BUKIT KEMBOJA,MAKTAB MAHMUD CAWANGAN LANGKAWI,1,289,PKR,WAN SALLEH,112,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",173,,,,285,4,0
34,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/13,BUKIT KEMBOJA,MAKTAB MAHMUD CAWANGAN LANGKAWI,2,584,PKR,WAN SALLEH,228,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",343,,,,571,13,0
35,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/13,BUKIT KEMBOJA,MAKTAB MAHMUD CAWANGAN LANGKAWI,3,518,PKR,WAN SALLEH,231,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",286,,,,517,1,0
36,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/14,MAKAM MAHSURI,TABIKA KEMAS BUKIT TEMIN,1,296,PKR,WAN SALLEH,118,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",157,,,,275,21,0
37,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/14,MAKAM MAHSURI,TABIKA KEMAS BUKIT TEMIN,2,539,PKR,WAN SALLEH,205,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",322,,,,527,12,0
38,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/01,KAMPUNG GELAM,SEKOLAH MENENGAH KEBANGSAAAN KEDAWANG,1,289,PKR,WAN SALLEH,98,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",180,,,,278,11,0
39,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/01,KAMPUNG GELAM,SEKOLAH MENENGAH KEBANGSAAAN KEDAWANG,2,355,PKR,WAN SALLEH,146,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",204,,,,350,5,0
40,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/02,KEDAWANG,SEKOLAH KEBANGSAAN KEDAWANG,1,309,PKR,WAN SALLEH,120,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",174,,,,294,15,0
41,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/02,KEDAWANG,SEKOLAH KEBANGSAAN KEDAWANG,2,451,PKR,WAN SALLEH,150,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",295,,,,445,6,0
42,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/03,PANTAI CHENANG,SEKOLAH KEBANGSAAN TEMONYONG,1,369,PKR,WAN SALLEH,148,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",208,,,,356,13,0
43,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/03,PANTAI CHENANG,SEKOLAH KEBANGSAAN TEMONYONG,2,456,PKR,WAN SALLEH,202,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",247,,,,449,7,0
44,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/04,TEMONYONG,TADIKA KEMAS KAMPUNG KUALA TEMONYONG,1,300,PKR,WAN SALLEH,86,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",196,,,,282,18,0
45,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/04,TEMONYONG,TADIKA KEMAS KAMPUNG KUALA TEMONYONG,2,521,PKR,WAN SALLEH,156,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",358,,,,514,7,0
46,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/05,KAMPUNG BAYAS,SEKOLAH KEBANGSAAN BAYAS,1,292,PKR,WAN SALLEH,124,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",152,,,,276,16,0
47,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/05,KAMPUNG BAYAS,SEKOLAH KEBANGSAAN BAYAS,2,378,PKR,WAN SALLEH,179,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",196,,,,375,3,0
48,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/06,SUNGAI MENGHULU,SEKOLAH MENENGAH TEKNIK PULAU LANGKAWI,1,266,PKR,WAN SALLEH,83,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",173,,,,256,10,0
49,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/06,SUNGAI MENGHULU,SEKOLAH MENENGAH TEKNIK PULAU LANGKAWI,2,423,PKR,WAN SALLEH,187,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",233,,,,420,3,0
50,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/06,SUNGAI MENGHULU,SEKOLAH MENENGAH TEKNIK PULAU LANGKAWI,3,378,PKR,WAN SALLEH,171,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",206,,,,377,1,0
51,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/07,KELIBANG,SEKOLAH KEBANGSAAN KELIBANG,1,272,PKR,WAN SALLEH,94,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",165,,,,259,13,0
52,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/07,KELIBANG,SEKOLAH KEBANGSAAN KELIBANG,2,500,PKR,WAN SALLEH,179,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",309,,,,488,12,0
53,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/07,KELIBANG,SEKOLAH KEBANGSAAN KELIBANG,3,456,PKR,WAN SALLEH,136,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",316,,,,452,4,0
54,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/08,DUNDONG,SEKOLAH MENENGAH KEBANGSAAN MAHSURI,1,455,PKR,WAN SALLEH,154,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",292,,,,446,9,0
55,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/09,PULAU DAYANG BUNTING,SEKOLAH KEBANGSAAN SELAT BAGAN NYIOR,1,240,PKR,WAN SALLEH,32,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",206,,,,238,2,0
56,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/10,LUBOK CHEMPEDAK,SEKOLAH KEBANGSAAN LUBOK CHEMPEDAK,1,322,PKR,WAN SALLEH,48,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",260,,,,308,14,0
57,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/11,KAMPUNG TUBA,SEKOLAH KEBANGSAAN PULAU TUBA,1,316,PKR,WAN SALLEH,25,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",280,,,,305,11,0
58,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/11,KAMPUNG TUBA,SEKOLAH KEBANGSAAN PULAU TUBA,2,421,PKR,WAN SALLEH,36,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",378,,,,414,7,0
59,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/12,KUAH,SEKOLAH KEBANGSAAN LANGKAWI,1,204,PKR,WAN SALLEH,67,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",121,,,,188,16,0
60,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/12,KUAH,SEKOLAH KEBANGSAAN LANGKAWI,2,388,PKR,WAN SALLEH,152,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",230,,,,382,6,0
61,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/12,KUAH,SEKOLAH KEBANGSAAN LANGKAWI,3,398,PKR,WAN SALLEH,177,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",219,,,,396,2,0
62,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/12,KUAH,SEKOLAH KEBANGSAAN LANGKAWI,4,327,PKR,WAN SALLEH,113,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",212,,,,325,2,0
63,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/13,KAMPUNG BUKIT MALUT,SEKOLAH KEBANGSAAN BAYAS,3,278,PKR,WAN SALLEH,40,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",213,,,,253,25,0
64,KEDAH,2008,UNDI BIASA,004,LANGKAWI,02,KUAH,004/02/13,KAMPUNG BUKIT MALUT,SEKOLAH KEBANGSAAN BAYAS,4,486,PKR,WAN SALLEH,59,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",404,,,,463,23,0
65,KEDAH,2008,UNDI POS,005,JERLUN,UNDI POS,UNDI POS,005/UNDI POS,UNDI POS,UNDI POS,0,264,PAS,USTAZ IDRIS AHMAD,46,UMNO,DATO' MUKHRIZ MAHATHIR,158,,,,204,10,50
66,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/01,KAMPUNG BAHAGIA,SEKOLAH MENENGAH KEBANGSAAN TUNKU BENDAHARA KODIANG,1,300,PAS,USTAZ IDRIS AHMAD,143,UMNO,DATO' MUKHRIZ MAHATHIR,142,,,,285,15,0
67,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/01,KAMPUNG BAHAGIA,SEKOLAH MENENGAH KEBANGSAAN TUNKU BENDAHARA KODIANG,2,539,PAS,USTAZ IDRIS AHMAD,231,UMNO,DATO' MUKHRIZ MAHATHIR,300,,,,531,8,0
68,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/01,KAMPUNG BAHAGIA,SEKOLAH MENENGAH KEBANGSAAN TUNKU BENDAHARA KODIANG,3,491,PAS,USTAZ IDRIS AHMAD,231,UMNO,DATO' MUKHRIZ MAHATHIR,256,,,,487,4,0
69,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/02,KAMPUNG PERING,SEKOLAH JENIS KEBANGSAAN (CHINA) PEI MIN PADANG SERA,1,526,PAS,USTAZ IDRIS AHMAD,93,UMNO,DATO' MUKHRIZ MAHATHIR,414,,,,507,19,0
70,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/03,KAMPUNG KANDIS,SEKOLAH KEBANGSAAN KODIANG (BARU),1,311,PAS,USTAZ IDRIS AHMAD,94,UMNO,DATO' MUKHRIZ MAHATHIR,208,,,,302,9,0
71,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/03,KAMPUNG KANDIS,SEKOLAH KEBANGSAAN KODIANG (BARU),2,423,PAS,USTAZ IDRIS AHMAD,124,UMNO,DATO' MUKHRIZ MAHATHIR,297,,,,421,2,0
72,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/04,PEKAN KODIANG,SEKOLAH KEBANGSAAN KODIANG (LAMA),1,256,PAS,USTAZ IDRIS AHMAD,101,UMNO,DATO' MUKHRIZ MAHATHIR,142,,,,243,13,0
73,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/04,PEKAN KODIANG,SEKOLAH KEBANGSAAN KODIANG (LAMA),2,394,PAS,USTAZ IDRIS AHMAD,176,UMNO,DATO' MUKHRIZ MAHATHIR,214,,,,390,4,0
74,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/04,PEKAN KODIANG,SEKOLAH KEBANGSAAN KODIANG (LAMA),3,375,PAS,USTAZ IDRIS AHMAD,173,UMNO,DATO' MUKHRIZ MAHATHIR,200,,,,373,2,0
75,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/04,PEKAN KODIANG,SEKOLAH KEBANGSAAN KODIANG (LAMA),4,328,PAS,USTAZ IDRIS AHMAD,149,UMNO,DATO' MUKHRIZ MAHATHIR,178,,,,327,1,0
76,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/05,KAMPUNG KODIANG,SEKOLAH KEBANGSAAN TUNKU BENDAHARA KODIANG,1,286,PAS,USTAZ IDRIS AHMAD,115,UMNO,DATO' MUKHRIZ MAHATHIR,165,,,,280,6,0
77,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/05,KAMPUNG KODIANG,SEKOLAH KEBANGSAAN TUNKU BENDAHARA KODIANG,2,395,PAS,USTAZ IDRIS AHMAD,159,UMNO,DATO' MUKHRIZ MAHATHIR,226,,,,385,10,0
78,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/05,KAMPUNG KODIANG,SEKOLAH KEBANGSAAN TUNKU BENDAHARA KODIANG,3,359,PAS,USTAZ IDRIS AHMAD,157,UMNO,DATO' MUKHRIZ MAHATHIR,202,,,,359,0,0
79,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/06,KAMPUNG SIPUTEH,SEKOLAH JENIS KEBANGSAAN (CHINA) PEI MIN PADANG SERA,2,316,PAS,USTAZ IDRIS AHMAD,88,UMNO,DATO' MUKHRIZ MAHATHIR,223,,,,311,5,0
80,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/06,KAMPUNG SIPUTEH,SEKOLAH JENIS KEBANGSAAN (CHINA) PEI MIN PADANG SERA,3,408,PAS,USTAZ IDRIS AHMAD,102,UMNO,DATO' MUKHRIZ MAHATHIR,302,,,,404,4,0
81,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/07,MEGAT DEWA,SEKOLAH KEBANGSAAN MEGAT DEWA,1,296,PAS,USTAZ IDRIS AHMAD,184,UMNO,DATO' MUKHRIZ MAHATHIR,107,,,,291,5,0
82,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/07,MEGAT DEWA,SEKOLAH KEBANGSAAN MEGAT DEWA,2,449,PAS,USTAZ IDRIS AHMAD,258,UMNO,DATO' MUKHRIZ MAHATHIR,184,,,,442,7,0
83,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/07,MEGAT DEWA,SEKOLAH KEBANGSAAN MEGAT DEWA,3,402,PAS,USTAZ IDRIS AHMAD,250,UMNO,DATO' MUKHRIZ MAHATHIR,150,,,,400,2,0
84,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/08,BUKIT HANTU,"SEKOLAH KEBANGSAAN DATO' SYED NAHAR, JALAN SANGLANG",1,297,PAS,USTAZ IDRIS AHMAD,159,UMNO,DATO' MUKHRIZ MAHATHIR,132,,,,291,6,0
85,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/08,BUKIT HANTU,"SEKOLAH KEBANGSAAN DATO' SYED NAHAR, JALAN SANGLANG",2,436,PAS,USTAZ IDRIS AHMAD,221,UMNO,DATO' MUKHRIZ MAHATHIR,206,,,,427,9,0
86,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/08,BUKIT HANTU,"SEKOLAH KEBANGSAAN DATO' SYED NAHAR, JALAN SANGLANG",3,388,PAS,USTAZ IDRIS AHMAD,216,UMNO,DATO' MUKHRIZ MAHATHIR,169,,,,385,3,0
87,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/09,MESJID PAYA,SEKOLAH KEBANGSAAN DATO' SYED NAHAR JALAN SANGLANG,4,281,PAS,USTAZ IDRIS AHMAD,191,UMNO,DATO' MUKHRIZ MAHATHIR,79,,,,270,11,0
88,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/09,MESJID PAYA,SEKOLAH KEBANGSAAN DATO' SYED NAHAR JALAN SANGLANG,5,458,PAS,USTAZ IDRIS AHMAD,291,UMNO,DATO' MUKHRIZ MAHATHIR,161,,,,452,6,0
89,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/09,MESJID PAYA,SEKOLAH KEBANGSAAN DATO' SYED NAHAR JALAN SANGLANG,6,402,PAS,USTAZ IDRIS AHMAD,297,UMNO,DATO' MUKHRIZ MAHATHIR,101,,,,398,4,0
90,KEDAH,2008,UNDI BIASA,005,JERLUN,03,KOTA SIPUTEH,005/03/10,BATU 4 JALAN SANGLANG,PERSATUAN PELADANG (MADA) BATU 4 SANGLANG,1,288,PAS,USTAZ IDRIS AHMAD,154,UMNO,DATO' MUKHRIZ MAHATHIR,127,,,,281,7,0
